axe_rule,bucket,affected_nodes,share_of_all_nodes_pct,stores_affected,share_of_stores_pct
color-contrast,design,9219,50.15,307,83.7
link-name,ai,3081,16.76,225,61.3
image-alt,ai,1745,9.49,153,41.7
aria-hidden-focus,auto,1034,5.62,58,15.8
button-name,ai,681,3.70,107,29.2
nested-interactive,auto,391,2.13,57,15.5
listitem,auto,385,2.09,35,9.5
aria-prohibited-attr,unclassified,281,1.53,43,11.7
scrollable-region-focusable,auto,265,1.44,77,21.0
meta-viewport,auto,142,0.77,69,18.8
list,auto,135,0.73,58,15.8
aria-allowed-attr,auto,131,0.71,43,11.7
aria-command-name,ai,125,0.68,15,4.1
dlitem,auto,108,0.59,4,1.1
label,ai,89,0.48,52,14.2
definition-list,auto,77,0.42,8,2.2
aria-required-parent,auto,74,0.40,16,4.4
aria-required-children,auto,56,0.30,29,7.9
frame-title,auto,56,0.30,27,7.4
aria-valid-attr-value,auto,47,0.26,24,6.5
select-name,auto,36,0.20,22,6.0
link-in-text-block,ai,34,0.18,13,3.5
aria-input-field-name,ai,34,0.18,10,2.7
aria-required-attr,auto,33,0.18,2,0.5
svg-img-alt,ai,32,0.17,5,1.4
aria-toggle-field-name,auto,30,0.16,3,0.8
summary-name,unclassified,14,0.08,7,1.9
document-title,auto,10,0.05,6,1.6
aria-valid-attr,auto,9,0.05,2,0.5
html-has-lang,auto,7,0.04,4,1.1
aria-roles,auto,7,0.04,5,1.4
avoid-inline-spacing,unclassified,6,0.03,4,1.1
autocomplete-valid,auto,4,0.02,2,0.5
input-button-name,ai,2,0.01,1,0.3
marquee,unclassified,2,0.01,2,0.5
role-img-alt,ai,1,0.01,1,0.3
